region,id,page,constituents,coalesced,text_length,lines,observations,ordinal,kind,start,end,substring,arithmetic,semantic,nearest,displacement
4,ee01c2ddf7a8ea0a44b1963a242578e7cad16749d6f1b8ae6793da21363d3c0a,1,1,False,499,14,13,13,LINE_BREAK,464,464,,True,False,456,-8
5,218f09a06ddf6011ef5e4e3510c942ccb2e66588b7a80997c612a6c05d32f2d5,1,1,False,294,8,13,1,LINE_BREAK,33,33,,True,True,33,
5,218f09a06ddf6011ef5e4e3510c942ccb2e66588b7a80997c612a6c05d32f2d5,1,1,False,294,8,13,2,PARAGRAPH_BREAK,33,34,"
",True,True,33,
5,218f09a06ddf6011ef5e4e3510c942ccb2e66588b7a80997c612a6c05d32f2d5,1,1,False,294,8,13,3,LIST_MARKER,34,35,"
",True,False,35,1
5,218f09a06ddf6011ef5e4e3510c942ccb2e66588b7a80997c612a6c05d32f2d5,1,1,False,294,8,13,4,LINE_BREAK,76,76,,True,False,77,1
5,218f09a06ddf6011ef5e4e3510c942ccb2e66588b7a80997c612a6c05d32f2d5,1,1,False,294,8,13,5,LIST_MARKER,77,78,"
",True,False,78,1
5,218f09a06ddf6011ef5e4e3510c942ccb2e66588b7a80997c612a6c05d32f2d5,1,1,False,294,8,13,6,LINE_BREAK,104,104,,True,False,105,1
5,218f09a06ddf6011ef5e4e3510c942ccb2e66588b7a80997c612a6c05d32f2d5,1,1,False,294,8,13,7,LIST_MARKER,105,106,"
",True,False,106,1
5,218f09a06ddf6011ef5e4e3510c942ccb2e66588b7a80997c612a6c05d32f2d5,1,1,False,294,8,13,8,LINE_BREAK,136,136,,True,False,138,2
5,218f09a06ddf6011ef5e4e3510c942ccb2e66588b7a80997c612a6c05d32f2d5,1,1,False,294,8,13,9,LIST_MARKER,137,138,.,True,False,139,2
5,218f09a06ddf6011ef5e4e3510c942ccb2e66588b7a80997c612a6c05d32f2d5,1,1,False,294,8,13,10,LINE_BREAK,174,174,,True,True,174,
5,218f09a06ddf6011ef5e4e3510c942ccb2e66588b7a80997c612a6c05d32f2d5,1,1,False,294,8,13,11,LIST_MARKER,175,176,•,True,True,175,
5,218f09a06ddf6011ef5e4e3510c942ccb2e66588b7a80997c612a6c05d32f2d5,1,1,False,294,8,13,12,LINE_BREAK,251,251,,True,False,255,4
5,218f09a06ddf6011ef5e4e3510c942ccb2e66588b7a80997c612a6c05d32f2d5,1,1,False,294,8,13,13,LIST_MARKER,252,253,i,True,False,256,4
7,2aa303dd8f6e1069bc562f9456eff1e356339c9e5be06f1a43584791a9304167,1,2,True,62,2,3,1,BOLD,0,23,Where Parker now stands,True,True,,
7,2aa303dd8f6e1069bc562f9456eff1e356339c9e5be06f1a43584791a9304167,1,2,True,62,2,3,2,ENLARGED_TEXT,0,23,Where Parker now stands,True,True,,
7,2aa303dd8f6e1069bc562f9456eff1e356339c9e5be06f1a43584791a9304167,1,2,True,62,2,3,3,LINE_BREAK,23,23,,True,True,23,
8,003232e25335098a6549939ce288291fd2d21dbc99f546210f56ea25f7e673d0,1,1,False,21,1,2,1,BOLD,0,21,Foundation (complete),True,True,,
8,003232e25335098a6549939ce288291fd2d21dbc99f546210f56ea25f7e673d0,1,1,False,21,1,2,2,ENLARGED_TEXT,0,21,Foundation (complete),True,True,,
9,0ef9a05169ee9f631e1d94270e420ce8378b29d135b3670eb642eb2429b081ba,1,1,False,15,1,1,1,LIST_MARKER,0,1,•,True,True,0,
10,795d5922b88c6b9d3f3349f84111e16515430fdf6738d381096f6b91a9bea825,1,1,False,15,1,1,1,LIST_MARKER,0,1,•,True,True,0,
11,d832884fec946262324544fd7650a715886661792722cbf444f454e90a2bba2c,1,1,False,47,2,3,1,LIST_MARKER,0,1,•,True,True,0,
11,d832884fec946262324544fd7650a715886661792722cbf444f454e90a2bba2c,1,1,False,47,2,3,2,LINE_BREAK,23,23,,True,True,23,
11,d832884fec946262324544fd7650a715886661792722cbf444f454e90a2bba2c,1,1,False,47,2,3,3,LIST_MARKER,24,25,•,True,True,24,
12,00e67d23a2eab6ec8507b83dbc897f78babefeffb96211b0c4d376c8509b34bc,1,1,False,20,1,1,1,LIST_MARKER,0,1,•,True,True,0,
13,4c084761dc16509b22b70d69c89d31db13ca86fcc85c8d2a2e9a1eb364e72365,1,1,False,48,2,3,1,LIST_MARKER,0,1,•,True,True,0,
13,4c084761dc16509b22b70d69c89d31db13ca86fcc85c8d2a2e9a1eb364e72365,1,1,False,48,2,3,2,LINE_BREAK,25,25,,True,True,25,
13,4c084761dc16509b22b70d69c89d31db13ca86fcc85c8d2a2e9a1eb364e72365,1,1,False,48,2,3,3,LIST_MARKER,26,27,•,True,True,26,
14,80e9ce224bd3e023be309eda26e5cc781e3b0ed82de9dbcbd876a34d2086638b,1,2,True,46,2,3,1,LIST_MARKER,0,1,•,True,True,0,
14,80e9ce224bd3e023be309eda26e5cc781e3b0ed82de9dbcbd876a34d2086638b,1,2,True,46,2,3,2,LINE_BREAK,19,19,,True,True,19,
14,80e9ce224bd3e023be309eda26e5cc781e3b0ed82de9dbcbd876a34d2086638b,1,2,True,46,2,3,3,LIST_MARKER,20,21,•,True,True,20,
15,a6024ecc1c34f3b28ae742cd2e63a4a3b75ed5fca58ad34092893d70f4d9aa05,2,1,False,29,1,1,1,LIST_MARKER,0,1,•,True,True,0,
16,e1cb7c56f94e03a022dee49985d05fbdcf843cc208b56fdbcc9658258d8f0a58,2,1,False,26,1,1,1,LIST_MARKER,0,1,•,True,True,0,
18,8539e325ce60a97b392c72f3f2753c5ef2dbd4e7967270973b900625d156a4d8,2,1,False,21,1,2,1,BOLD,0,21,Runtime (implemented),True,True,,
18,8539e325ce60a97b392c72f3f2753c5ef2dbd4e7967270973b900625d156a4d8,2,1,False,21,1,2,2,ENLARGED_TEXT,0,21,Runtime (implemented),True,True,,
19,ca567f3d357cf45a1096230bedbeefe86167890d5874ee2418df570d74c293aa,2,1,False,20,2,3,1,LIST_MARKER,0,1,•,True,True,0,
19,ca567f3d357cf45a1096230bedbeefe86167890d5874ee2418df570d74c293aa,2,1,False,20,2,3,2,LINE_BREAK,11,11,,True,True,11,
19,ca567f3d357cf45a1096230bedbeefe86167890d5874ee2418df570d74c293aa,2,1,False,20,2,3,3,LIST_MARKER,12,13,•,True,True,12,
20,9e64d2b56fd1739b97bc464b0d9871ee731ad28a32f828f6a4b7a3a3684bcd9d,2,2,True,100,6,11,1,LIST_MARKER,0,1,•,True,True,0,
20,9e64d2b56fd1739b97bc464b0d9871ee731ad28a32f828f6a4b7a3a3684bcd9d,2,2,True,100,6,11,2,LINE_BREAK,15,15,,True,True,15,
20,9e64d2b56fd1739b97bc464b0d9871ee731ad28a32f828f6a4b7a3a3684bcd9d,2,2,True,100,6,11,3,LIST_MARKER,16,17,•,True,True,16,
20,9e64d2b56fd1739b97bc464b0d9871ee731ad28a32f828f6a4b7a3a3684bcd9d,2,2,True,100,6,11,4,LINE_BREAK,26,26,,True,True,26,
20,9e64d2b56fd1739b97bc464b0d9871ee731ad28a32f828f6a4b7a3a3684bcd9d,2,2,True,100,6,11,5,LIST_MARKER,27,28,•,True,True,27,
20,9e64d2b56fd1739b97bc464b0d9871ee731ad28a32f828f6a4b7a3a3684bcd9d,2,2,True,100,6,11,6,LINE_BREAK,42,42,,True,False,43,1
20,9e64d2b56fd1739b97bc464b0d9871ee731ad28a32f828f6a4b7a3a3684bcd9d,2,2,True,100,6,11,7,LIST_MARKER,43,44,"
",True,False,44,1
20,9e64d2b56fd1739b97bc464b0d9871ee731ad28a32f828f6a4b7a3a3684bcd9d,2,2,True,100,6,11,8,LINE_BREAK,58,58,,True,False,60,2
20,9e64d2b56fd1739b97bc464b0d9871ee731ad28a32f828f6a4b7a3a3684bcd9d,2,2,True,100,6,11,9,LIST_MARKER,59,60,y,True,False,61,2
20,9e64d2b56fd1739b97bc464b0d9871ee731ad28a32f828f6a4b7a3a3684bcd9d,2,2,True,100,6,11,10,LINE_BREAK,78,78,,True,False,81,3
20,9e64d2b56fd1739b97bc464b0d9871ee731ad28a32f828f6a4b7a3a3684bcd9d,2,2,True,100,6,11,11,LIST_MARKER,79,80,r,True,False,82,3
21,c03236c03aae48d43dbd6209bcafa4a98aea3ef3388583a1d1c605c15497c1e7,2,1,False,27,1,1,1,BOLD,5,26,441/441 tests passing,True,True,,
23,11783b0af374764d4f8245be7ec597f38d47e5f98269a9d8e92928a60dadf0e8,2,1,False,15,1,2,1,BOLD,0,15,What comes next,True,True,,
23,11783b0af374764d4f8245be7ec597f38d47e5f98269a9d8e92928a60dadf0e8,2,1,False,15,1,2,2,ENLARGED_TEXT,0,15,What comes next,True,True,,
24,82ce2a121f2b982b392fa6136ef3d9f905f4a780bec51f6c3fddf611809ee497,2,1,False,105,2,2,1,LINE_BREAK,82,82,,True,False,89,7
24,82ce2a121f2b982b392fa6136ef3d9f905f4a780bec51f6c3fddf611809ee497,2,1,False,105,2,2,2,BOLD,51,71, observable abilitie,True,False,,
25,e293f7e24d6c80fbcb2afcae7b72f580940705c2b54aa1cc79007e15de9ebe85,2,1,False,65,1,1,1,BOLD,38,60, the Communication Run,True,False,,
26,f9ab1981fbe5520c028634fdb858ac243425982bc2cd4e14441e2d0bb9d985f3,2,2,True,187,22,21,1,LINE_BREAK,18,18,,True,True,18,
26,f9ab1981fbe5520c028634fdb858ac243425982bc2cd4e14441e2d0bb9d985f3,2,2,True,187,22,21,2,PARAGRAPH_BREAK,18,19,"
",True,True,18,
26,f9ab1981fbe5520c028634fdb858ac243425982bc2cd4e14441e2d0bb9d985f3,2,2,True,187,22,21,3,LINE_BREAK,25,25,,True,True,25,
26,f9ab1981fbe5520c028634fdb858ac243425982bc2cd4e14441e2d0bb9d985f3,2,2,True,187,22,21,4,LINE_BREAK,29,29,,True,True,29,
26,f9ab1981fbe5520c028634fdb858ac243425982bc2cd4e14441e2d0bb9d985f3,2,2,True,187,22,21,5,LINE_BREAK,33,33,,True,True,33,
26,f9ab1981fbe5520c028634fdb858ac243425982bc2cd4e14441e2d0bb9d985f3,2,2,True,187,22,21,6,LINE_BREAK,54,54,,True,True,54,
26,f9ab1981fbe5520c028634fdb858ac243425982bc2cd4e14441e2d0bb9d985f3,2,2,True,187,22,21,7,LINE_BREAK,58,58,,True,True,58,
26,f9ab1981fbe5520c028634fdb858ac243425982bc2cd4e14441e2d0bb9d985f3,2,2,True,187,22,21,8,LINE_BREAK,62,62,,True,True,62,
26,f9ab1981fbe5520c028634fdb858ac243425982bc2cd4e14441e2d0bb9d985f3,2,2,True,187,22,21,9,LINE_BREAK,83,83,,True,False,84,1
26,f9ab1981fbe5520c028634fdb858ac243425982bc2cd4e14441e2d0bb9d985f3,2,2,True,187,22,21,10,LINE_BREAK,87,87,,True,False,88,1
26,f9ab1981fbe5520c028634fdb858ac243425982bc2cd4e14441e2d0bb9d985f3,2,2,True,187,22,21,11,LINE_BREAK,91,91,,True,False,92,1
26,f9ab1981fbe5520c028634fdb858ac243425982bc2cd4e14441e2d0bb9d985f3,2,2,True,187,22,21,12,LINE_BREAK,109,109,,True,False,111,2
26,f9ab1981fbe5520c028634fdb858ac243425982bc2cd4e14441e2d0bb9d985f3,2,2,True,187,22,21,13,LINE_BREAK,113,113,,True,False,111,-2
26,f9ab1981fbe5520c028634fdb858ac243425982bc2cd4e14441e2d0bb9d985f3,2,2,True,187,22,21,14,LINE_BREAK,117,117,,True,False,115,-2
26,f9ab1981fbe5520c028634fdb858ac243425982bc2cd4e14441e2d0bb9d985f3,2,2,True,187,22,21,15,LINE_BREAK,140,140,,True,False,143,3
26,f9ab1981fbe5520c028634fdb858ac243425982bc2cd4e14441e2d0bb9d985f3,2,2,True,187,22,21,16,LINE_BREAK,144,144,,True,False,143,-1
26,f9ab1981fbe5520c028634fdb858ac243425982bc2cd4e14441e2d0bb9d985f3,2,2,True,187,22,21,17,LINE_BREAK,148,148,,True,False,147,-1
26,f9ab1981fbe5520c028634fdb858ac243425982bc2cd4e14441e2d0bb9d985f3,2,2,True,187,22,21,18,LINE_BREAK,162,162,,True,False,166,4
26,f9ab1981fbe5520c028634fdb858ac243425982bc2cd4e14441e2d0bb9d985f3,2,2,True,187,22,21,19,LINE_BREAK,166,166,,True,True,166,
26,f9ab1981fbe5520c028634fdb858ac243425982bc2cd4e14441e2d0bb9d985f3,2,2,True,187,22,21,20,LINE_BREAK,170,170,,True,True,170,
26,f9ab1981fbe5520c028634fdb858ac243425982bc2cd4e14441e2d0bb9d985f3,2,2,True,187,22,21,21,LINE_BREAK,178,178,,True,False,174,-4
27,c606f852e1c9106443dd9ea676fe08e04b35d67dffe396571fbcfe0ac27c24b0,3,1,False,66,8,7,1,LINE_BREAK,1,1,,True,True,1,
27,c606f852e1c9106443dd9ea676fe08e04b35d67dffe396571fbcfe0ac27c24b0,3,1,False,66,8,7,2,LINE_BREAK,23,23,,True,True,23,
27,c606f852e1c9106443dd9ea676fe08e04b35d67dffe396571fbcfe0ac27c24b0,3,1,False,66,8,7,3,LINE_BREAK,27,27,,True,True,27,
27,c606f852e1c9106443dd9ea676fe08e04b35d67dffe396571fbcfe0ac27c24b0,3,1,False,66,8,7,4,LINE_BREAK,31,31,,True,True,31,
27,c606f852e1c9106443dd9ea676fe08e04b35d67dffe396571fbcfe0ac27c24b0,3,1,False,66,8,7,5,LINE_BREAK,52,52,,True,True,52,
27,c606f852e1c9106443dd9ea676fe08e04b35d67dffe396571fbcfe0ac27c24b0,3,1,False,66,8,7,6,LINE_BREAK,56,56,,True,True,56,
27,c606f852e1c9106443dd9ea676fe08e04b35d67dffe396571fbcfe0ac27c24b0,3,1,False,66,8,7,7,LINE_BREAK,60,60,,True,True,60,
29,454d31aeb3ad954ed0b6b6c3a080ec3bf6e6653d29ef6688700456735fd6e877,3,1,False,61,1,1,1,BOLD,36,57,but no mouth and no e,True,False,,
30,237a10f942634c00c08ebcd3ea0b040bd07bac01a95f07494aa2821560e05764,3,1,False,335,4,3,1,LINE_BREAK,86,86,,True,False,91,5
30,237a10f942634c00c08ebcd3ea0b040bd07bac01a95f07494aa2821560e05764,3,1,False,335,4,3,2,LINE_BREAK,169,169,,True,False,181,12
30,237a10f942634c00c08ebcd3ea0b040bd07bac01a95f07494aa2821560e05764,3,1,False,335,4,3,3,LINE_BREAK,249,249,,True,False,268,19
31,d8f5481f47108915dd90a1b42d088b78100feabecd1758d7d69e81cbeef722b2,3,1,False,304,4,3,1,LINE_BREAK,87,87,,True,False,91,4
31,d8f5481f47108915dd90a1b42d088b78100feabecd1758d7d69e81cbeef722b2,3,1,False,304,4,3,2,LINE_BREAK,175,175,,True,False,183,8
31,d8f5481f47108915dd90a1b42d088b78100feabecd1758d7d69e81cbeef722b2,3,1,False,304,4,3,3,LINE_BREAK,259,259,,True,False,273,14
32,1315fe7344ce78987129239a6f2fd492c19da369d917d701cef1f35b7602ebba,3,1,False,228,3,2,1,LINE_BREAK,88,88,,True,False,91,3
32,1315fe7344ce78987129239a6f2fd492c19da369d917d701cef1f35b7602ebba,3,1,False,228,3,2,2,LINE_BREAK,179,179,,True,False,181,2
